"ID","Collection","ENS","Minting Date","Tx Count","Power"
"439242","0x1809754df5ac133a1cc7d4eaf45ed38cf9b39ec8","","7/2/2021","1","432"
"439243","0xad3532392b4a3d427f3af5c7dd3b3dd882f74439","","7/2/2021","1","108"
"439245","0xa38f82506c3ab79816d625ad286574133fc6f4e9","","7/2/2021","1","305"
"439246","0xc88f01d49ae3e61f9241fc452a196062eb647a4b","","7/2/2021","1","14"
"439247","0xe0a013a77c2efef233dbcf2175fc2681baee47e5","","7/2/2021","1","92"
"439252","0x5a45fa1d4ffc1428dc50f9df6fd1643f1012a39d","","7/2/2021","1","236"
"439255","0xc2373689538848d7dcbfe9f29384b158863c4ae7","","7/2/2021","1","27"
"439256","0x177821cbe97b3eb0a20de1fd534bc7160cbcd76e","","7/2/2021","1","311"
"439260","0x2f9f8172efcc1355e5a18449d9b5b1041b3e4f8f","","7/2/2021","1","57"
"439262","0xb795b5957bc72cfb1e71c6a8eb504c195dd52fc4","","7/2/2021","1","15"
"439293","0x59d6779eca6c91ed7679e261b54299b5155eadf0","","7/2/2021","1","50"
