"ID","Owner","ENS","Claim Date","Tx Count","Power"
"242642","0x73641ee05a9d6a8a23d3188ea13b690a078eac05","","5/21/2021","1","9"
"242644","0xd961220f3c356bee7e7905377fe9da95de6f978e","","5/21/2021","1","3"
"242646","0x72ba1965320ab5352fd6d68235cc3c5306a6ffa2","","5/21/2021","1","139"
"242657","0x1c5eb68630ccd90c3152fb9dee3a1c2a7201631d","","5/21/2021","1","30"
"242658","0x80fd264d44712fef8771675cea1bf24656c6b37c","","5/21/2021","1","4"
"242661","0x2f374873e3d410dddb11e7f0d7be6735645170bc","","5/21/2021","1","4"
"242665","0xccd22ac32ee87ce05dfbc6abcf37bc69bdea6a47","","5/21/2021","1","6"
"242675","0x6bfd30747ba72ac7bb2f20d6138e1312020fafe8","","5/21/2021","1","4"
"242679","0xdc99de2b50984269d5dd976766cad8d9eb9cff94","","5/21/2021","1","24"
"242680","0x73df3559f3224f85258c160d3e17bdb9d6288ff4","","5/21/2021","1","6"
"242681","0x192420795e6a2c80c4a90f8a380d792145985f27","","5/21/2021","1","59"
"242683","0x2ad550206dc4fc17a740e37306298d5b9238c162","","5/21/2021","1","53"
"242688","0x1f4a01fea6a204cd5bf7461edcbd820e1143498d","","5/21/2021","1","44"
"242696","0x286cd2ff7ad1337baa783c345080e5af9bba0b6e","","5/21/2021","1","4"
"242697","0x13aaf0994ffdb35bf32ddaf6e18b6efdd25a0808","","5/21/2021","1","6"
"242702","0x4dd1cacb51e38b5bdfb400c7da828181b3c12aa0","","5/21/2021","1","11"
"242705","0x0ae5d93f9562240702bf18e2924954b419b48b50","","5/21/2021","1","23"
"242715","0x981d9f8173c09842677f89696898d5b93a999d38","","5/21/2021","1","27"
"242720","0x9f79dba7ad7354b6f04bbe3e0541f662c5beab30","","5/21/2021","1","4"
"242724","0x9f64e6a575f50d7c8c5aea4be962f86ee2c5ca31","","5/21/2021","1","10"
"242733","0xfdf0eade0c4ba947999e7885b60099985347ee7a","","5/21/2021","1","6"
"242736","0xf4c7e772f24c10e3ce60ce549059a021f60c911e","","5/21/2021","1","26"
"242738","0x0409d28e409448e543c610b369ee7d2b58c15f57","","5/21/2021","1","3"
