"ID","Owner","shocktop.eth","Claim Date","Tx Count","Power"
"361244","0x1f4a01fea6a204cd5bf7461edcbd820e1143498d","","6/18/2021","1","61"
"361245","0x8c126eb5ada6c61f5b48e9791d5d539576af87cb","ysybox.eth","6/18/2021","1","6"
"361249","0xaf43d3c6a1362ca33fbba27d16959deb454f72ae","","6/18/2021","1","14"
"361250","0x981d9f8173c09842677f89696898d5b93a999d38","","6/18/2021","1","32"
"361255","0x9b5a2ce7faed24eaebfd1108dd4b97644b919406","nftunes.eth","6/18/2021","1","4"
"361257","0xb871d6b530ee3c21e8b098bc99f39bff5c0dcf32","","6/18/2021","1","7"
"361272","0x73ce4c69c1e4b26b324f62da4a2439bae8957d38","","6/18/2021","1","9"
"361290","0x4c5f4f9df7968b0db448526162114a04f3462bad","minimax.eth","6/18/2021","1","132"
"361299","0x234de2d06ee7e098b50f9ab1e15f4125bda02b67","","6/18/2021","1","4"
"361313","0x705360aa5ee97311e91c0375a27a18527538e3a4","","6/18/2021","1","7"
"361317","0xee33a103e53233da447b170d846983f44f79e999","","6/18/2021","1","29"
"361319","0x59d6779eca6c91ed7679e261b54299b5155eadf0","","6/18/2021","1","16"
"361356","0x5a375a93672b8535cb1365534003f507287a1816","mcmjy1990.eth","6/18/2021","1","7"
"361358","0x9155881a99c41620edfc889e18ec180cdd567bc6","thegoodnunes.eth","6/18/2021","1","16"
"361365","0x5c57abd3548b87ef9babea37ed3abd51fad523a3","","6/18/2021","1","13"
"361906","0xcb4020c5bce7e30247d888e96efb9b36570eb265","","6/19/2021","1","5"
"362030","0xccd22ac32ee87ce05dfbc6abcf37bc69bdea6a47","","6/19/2021","1","9"
"362269","0x13b6ef1250442a3d91fafac07a641ca89d066176","","6/19/2021","1","25"
"362289","0x30d34b7eacb5df5bb901512d148e745c79d6890d","","6/19/2021","1","25"
"362319","0x77d1507a37ae7ffd2bedbe0992fd050b1b614338","","6/19/2021","1","24"
"362331","0x31bd6a0692b20569dc7cecfeb49aa946f4a944f8","","6/19/2021","1","25"
"362342","0x912dc56fbcafe944f5ed51ef4d75d174ed061f37","","6/19/2021","1","25"
"362357","0xc586b15e6d5caa9b4b07ea68fca05d2e09e87731","","6/19/2021","1","27"
"362376","0x596cc48d4ea156fc58635f8f2c1c2204fb86f96b","","6/19/2021","1","26"
"362389","0x728017ac9fbabbfee316acb99c82727bafdad134","","6/19/2021","1","27"
"362413","0x23cc240526e1e5059379bcdc542c4f1644558ced","","6/19/2021","1","26"
"362425","0x46e069c8ad46f38d27f9e829891aeb257071b4dc","apexdao.eth","6/19/2021","1","26"
"363001","0x53f730ae4311d6d522f568269f38b3d9e6a7eb38","","6/19/2021","1","69"
"363407","0xbb2eb8fc2a9ad8ab50887db7bec84cd0674929ec","","6/19/2021","1","27"
"363440","0xd833bedd1824a6e39e539dea62fda74f127cec23","","6/19/2021","1","27"
"363480","0x0b41c627862e647c41947d7cfc18e3199a96f61e","","6/19/2021","1","27"
"363530","0x2f48372ce7d2a9e2603b1eb8aecedfc3d5f01d6e","","6/19/2021","1","27"
"363549","0xbf339315e9d92256c9033fb33c82d69bed2eebca","","6/19/2021","1","28"
"364550","0x664680d8245ec939b9713d13cd2cb30d257652cb","","6/19/2021","1","30"
"364728","0x7c136708f02bcdf753d0ef7163308dc5915718e3","","6/19/2021","1","30"
"364739","0x8eac933ee54c40cee8698b1fbd7b639a154f5398","","6/19/2021","1","29"
"364755","0x9d4676a418e0a34b09eed2b374c596960667049c","","6/19/2021","1","28"
"364776","0x2bf4bc0942992dbe6306e2a734f9b9f20157ab86","","6/19/2021","1","28"
"365002","0x96907680834799075328c95de1c5cae869f7a964","","6/19/2021","1","27"
"365054","0x48ab1e42431206c68f58ff120282bab57c268992","","6/19/2021","1","30"
"365093","0x4b6a5138b4907bd48224a176152d784aba64f054","","6/19/2021","1","29"
"365111","0xf1977f1c46b971ebc348ff010f60d1d50fc06ea5","","6/19/2021","1","29"
"365322","0xab6c6af87f114e22b31dc05407fc7ed75badf730","","6/19/2021","1","34"
"365351","0xec6fb872b20182157b8de009e949ac5f493248f0","","6/19/2021","1","31"
"365386","0x81a1d18f86466acb662796dc155cd16bba9841ad","","6/19/2021","1","28"
"365422","0x6192dcafe2e0f58be4617dec22b45dd569bdbc8c","","6/19/2021","1","29"
"365462","0x18f3080f115da20fb8cfeb5897ab418bf0cbb8bd","","6/19/2021","1","29"
"365499","0xc3eac2d5f50d4ccf4518b1bd52c705eff665a466","","6/19/2021","1","27"
"365527","0x0b79006fbb42e410062e52ae98641bea21d9d5a2","","6/19/2021","1","28"
"365556","0x2d96f705079d577dfa51f09e79c47a2d37a04227","","6/19/2021","1","27"
"365594","0x5e076cfb6bcae640d3e30a1d291f653b17c82d32","","6/19/2021","1","24"
"365619","0xb3da4c9e3cb5be6ad805708b50b88e5cea8666c7","","6/19/2021","1","23"
"365650","0x398c14410c25ba04b901bb21b5233445bcba3e5e","","6/19/2021","1","30"
"365673","0x9f8005d3abf35eaabcb41609c95e6f6c82b02537","","6/19/2021","1","29"
"365694","0xff99e146db831ccb0049fee68ff9c208cab81ef9","","6/19/2021","1","29"
"365716","0xbb36ccb724b03cf5a4f2001f45f6a0d4e448e7a2","","6/19/2021","1","29"
"365742","0xc1336bb60a53b10c43bbffa0a18ba231a83fdd72","","6/19/2021","1","27"
"365770","0xa6257f963a16c3ad7ad394603e4055d8e2d36430","","6/19/2021","1","26"
"365803","0xcd3e0aa5a03a3057e8f0ec7379499b814fb9d235","","6/19/2021","1","27"
"365828","0x254be969f9c8f87320291698112d24973a17aa75","","6/19/2021","1","22"
"366592","0x4d04e2f6aef3ee6cfb067c86ad7db8f5bb3a2b4c","","6/20/2021","1","21"
