"","in_degree","out_degree","total_degree","btw_centrality","closeness_centrality","google_pagerank","address","clusters"
"0xf09f5e6fa32aadb5efcbaac3bc26096cbdb0bbbd",1,2,3,3.4894886012667,3.81752242794426e-05,8.13474926886254e-05,"0xf09f5e6fa32aadb5efcbaac3bc26096cbdb0bbbd",9
"0xed6f4cd9288fb42f9e119f663b810be25e857d0b",1,1,2,0,3.79766064104512e-05,0.000123466830015678,"0xed6f4cd9288fb42f9e119f663b810be25e857d0b",11
"0x01e7f16e17c50d070eb66787f25ce3be405d6038",2,6,8,6050.47982450924,3.85267375558638e-05,8.14204635619197e-05,"0x01e7f16e17c50d070eb66787f25ce3be405d6038",9
"0x431c7ca252ba1c41ac11e67b2593e930608a60ed",4,6,10,221.802034071228,3.84186868492835e-05,0.000124482960453851,"0x431c7ca252ba1c41ac11e67b2593e930608a60ed",10
"0x87e13753286672e6dd7fa47fa3e768e5805c6760",1,1,2,0,3.65724317009838e-05,0.000124944466564144,"0x87e13753286672e6dd7fa47fa3e768e5805c6760",58
"0x49c233d25768e462f0474390f653baf40dd592b2",4,3,7,173.842313523154,3.74882849109653e-05,0.000208838896126702,"0x49c233d25768e462f0474390f653baf40dd592b2",4
"0x90c604ae8e5a021fd18878ab2ada20c2fbfc9241",1,1,2,0,3.79766064104512e-05,0.000123466830015678,"0x90c604ae8e5a021fd18878ab2ada20c2fbfc9241",11
"0xab00d4b3c5f51040206339a0c0f27665b1969a33",1,1,2,1.95349738083513,3.79809335713472e-05,8.13474926886254e-05,"0xab00d4b3c5f51040206339a0c0f27665b1969a33",11
"0xe7b1a77bf0ed6c2d39dda2fcc274ce3ab088cd3b",2,2,4,9.02535589307108,3.79809335713472e-05,8.14204635619197e-05,"0xe7b1a77bf0ed6c2d39dda2fcc274ce3ab088cd3b",11
"0x627ca7601e943cbffd21aeeb7bb06b9a3137b0ec",2,4,6,18.0507117861422,3.79809335713472e-05,8.14204635619197e-05,"0x627ca7601e943cbffd21aeeb7bb06b9a3137b0ec",11
"0x0c122a314fe27117082e2017acb5d91f62007783",1,1,2,0,3.12910695287565e-05,8.13474926886254e-05,"0x0c122a314fe27117082e2017acb5d91f62007783",4
